0,1,2,3,4,5
,0000111,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 000111",B
,0000111,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 000111",B
,0000111,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 0011","[(18, 29), (71, 52)] - 01",B
,0000111,"(247, 235) - 0",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 000111",B
,0000111,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 00111",I
,0000111,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 00011","[(163, 9)] - 1",I
,0000111,"(18, 29) - 0","[(190, 247), (247, 235)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0111",I
,0000111,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0001","[(71, 52), (163, 9)] - 11",I
,0000111,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 000","[(166, 113), (71, 52), (163, 9)] - 111",I
,0000111,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 00111",I
,0000111,"(190, 247) - 0","[(247, 235)] - 0","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 00111",I
,0000111,"(190, 247) - 0","[(247, 235), (202, 179)] - 00","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0111",I
,0000111,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 001","[(18, 29), (166, 113), (71, 52)] - 011",I
,0000111,"(247, 235) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00011",I
,0000111,"(247, 235) - 0","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 0111",I
,0000111,"(247, 235) - 0","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0001",I
,0000111,"(247, 235) - 0","[(202, 179), (166, 113), (163, 9)] - 011","[(18, 29), (190, 247), (71, 52)] - 001",I
,0000111,"(202, 179) - 0","[(166, 113), (163, 9)] - 11","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0001",I
,0000111,"(202, 179) - 0","[(18, 29), (190, 247), (247, 235)] - 000","[(166, 113), (71, 52), (163, 9)] - 111",I
,0000111,"(166, 113) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00001",I
,0000111,"(166, 113) - 1","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0000","[(71, 52), (163, 9)] - 11",I
,0000111,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00001","[(163, 9)] - 1",I
,0000111,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 000011",I
,0001011,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001011",B
,0001011,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001011",B
,0001011,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 0101","[(18, 29), (71, 52)] - 01",B
,0001011,"(190, 247) - 0","[(247, 235), (202, 179)] - 01","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0011",B
,0001011,"(247, 235) - 0",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 001011",B
,0001011,"(247, 235) - 0","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0011",B
,0001011,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01011",I
,0001011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 00101","[(163, 9)] - 1",I
,0001011,"(18, 29) - 0","[(190, 247), (247, 235)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1011",I
,0001011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0010","[(71, 52), (163, 9)] - 11",I
,0001011,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 001","[(166, 113), (71, 52), (163, 9)] - 011",I
,0001011,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 01011",I
,0001011,"(190, 247) - 0","[(247, 235)] - 0","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 01011",I
,0001011,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 011","[(18, 29), (166, 113), (71, 52)] - 001",I
,0001011,"(247, 235) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00101",I
,0001011,"(247, 235) - 0","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1011",I
,0001011,"(247, 235) - 0","[(202, 179), (166, 113), (163, 9)] - 101","[(18, 29), (190, 247), (71, 52)] - 001",I
,0001011,"(202, 179) - 1","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0001",I
,0001011,"(202, 179) - 1","[(18, 29), (190, 247), (247, 235)] - 000","[(166, 113), (71, 52), (163, 9)] - 011",I
,0001011,"(166, 113) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00011",I
,0001011,"(166, 113) - 0","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0001","[(71, 52), (163, 9)] - 11",I
,0001011,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00010","[(163, 9)] - 1",I
,0001011,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 000101",I
,0001101,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 001101",B
