PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(175, 216)",2,"(0, 1)","[(175, 216), (248, 119)]"
"(248, 119)",2,"(0, 3)","[(175, 216), (180, 174)]"
"(187, 163)",2,"(0, 6)","[(175, 216), (81, 106)]"
"(180, 174)",2,"(0, 7)","[(175, 216), (5, 39)]"
"(137, 118)",2,"(1, 2)","[(248, 119), (187, 163)]"
"(66, 70)",2,"(1, 4)","[(248, 119), (137, 118)]"
"(81, 106)",2,"(1, 5)","[(248, 119), (66, 70)]"
"(5, 39)",2,"(1, 7)","[(248, 119), (5, 39)]"
,2,"(5, 7)","[(66, 70), (5, 39)]"
,2,"(6, 7)","[(81, 106), (5, 39)]"
,3,"(0, 1, 2)","[(175, 216), (248, 119), (187, 163)]"
,3,"(0, 1, 3)","[(175, 216), (248, 119), (180, 174)]"
,3,"(0, 2, 3)","[(175, 216), (187, 163), (180, 174)]"
,3,"(0, 3, 6)","[(175, 216), (180, 174), (81, 106)]"
,3,"(0, 6, 7)","[(175, 216), (81, 106), (5, 39)]"
,3,"(1, 2, 3)","[(248, 119), (187, 163), (180, 174)]"
,3,"(1, 2, 4)","[(248, 119), (187, 163), (137, 118)]"
,3,"(1, 4, 5)","[(248, 119), (137, 118), (66, 70)]"
,3,"(1, 5, 7)","[(248, 119), (66, 70), (5, 39)]"
,3,"(5, 6, 7)","[(66, 70), (81, 106), (5, 39)]"
,4,"(0, 1, 2, 3)","[(175, 216), (248, 119), (187, 163), (180, 174)]"
,4,"(0, 2, 3, 4)","[(175, 216), (187, 163), (180, 174), (137, 118)]"
,4,"(0, 2, 3, 6)","[(175, 216), (187, 163), (180, 174), (81, 106)]"
,4,"(0, 3, 6, 7)","[(175, 216), (180, 174), (81, 106), (5, 39)]"
,4,"(0, 5, 6, 7)","[(175, 216), (66, 70), (81, 106), (5, 39)]"
